blueWardsPlaced;blueFirstBlood;blueKills;blueDeaths;blueAssists;blueEliteMonsters;blueDragons;blueHeralds;blueTowersDestroyed;blueTotalGold;blueAvgLevel;blueTotalMinionsKilled;blueGoldDiff;redWardsPlaced;redFirstBlood;redKills;redDeaths;redAssists;redEliteMonsters;redDragons;redHeralds;redTowersDestroyed;redTotalGold;redAvgLevel;redTotalMinionsKilled;redGoldDiff;blueWins
11;0;7;9;5;1;0;1;0;17528;7.2;234;-904;18;1;9;7;9;1;1;0;0;18432;7.0;227;904;0
18;0;3;6;3;1;0;1;0;15032;6.6;213;-1683;36;1;6;3;6;1;1;0;0;16715;7.0;236;1683;0
28;0;4;11;3;0;0;0;0;15483;6.8;222;-3025;41;1;11;4;16;1;1;0;0;18508;7.2;213;3025;0
36;0;10;6;12;0;0;0;0;19226;7.4;231;3004;16;1;6;10;7;0;0;0;0;16222;7.0;185;-3004;1
18;0;9;6;14;1;1;0;0;16945;6.8;204;1574;17;1;6;9;6;0;0;0;0;15371;6.8;194;-1574;1
12;1;5;5;3;0;0;0;0;15000;6.6;233;-1036;19;0;5;5;4;0;0;0;0;16036;7.0;221;1036;1
18;1;3;4;2;1;0;1;0;15888;7.4;252;16;39;0;4;3;2;1;1;0;0;15872;7.0;243;-16;0
41;0;1;10;0;0;0;0;0;12925;6.4;187;-6386;12;1;10;1;6;1;0;1;1;19311;7.2;247;6386;0
14;1;11;2;9;0;0;0;0;19250;7.6;251;5096;15;0;2;11;2;0;0;0;0;14154;6.4;196;-5096;1
19;1;8;4;5;1;1;0;1;18355;7.0;218;2756;13;0;4;8;5;0;0;0;0;15599;6.8;200;-2756;1
15;0;2;3;2;1;0;1;0;13978;6.6;180;-977;12;1;3;2;1;0;0;0;0;14955;6.8;218;977;1
16;0;5;5;8;0;0;0;0;15851;6.8;206;-808;38;1;5;5;6;0;0;0;0;16659;7.2;241;808;0
14;0;7;9;5;0;0;0;0;16474;6.6;209;-1559;22;1;9;7;13;1;1;0;0;18033;6.8;206;1559;0
18;0;6;8;6;0;0;0;0;16590;7.0;213;544;12;1;8;6;7;0;0;0;0;16046;7.0;182;-544;1
22;1;5;2;2;2;1;1;0;15737;7.0;217;1381;16;0;2;5;1;0;0;0;0;14356;7.0;212;-1381;1
37;1;5;3;5;0;0;0;0;16990;7.4;248;2031;15;0;3;5;5;1;1;0;0;14959;7.0;210;-2031;1
14;0;3;3;2;1;1;0;0;15297;7.0;246;131;20;1;3;3;1;0;0;0;0;15166;7.2;227;-131;0
16;0;4;10;4;1;0;1;0;15651;7.0;224;-2699;30;1;10;4;11;1;1;0;0;18350;7.4;201;2699;0
17;1;5;7;7;1;1;0;0;15587;6.8;181;-1672;14;0;7;5;6;0;0;0;0;17259;7.4;218;1672;0
19;1;10;6;11;1;1;0;0;17777;7.2;213;1201;18;0;6;10;5;0;0;0;0;16576;6.8;234;-1201;1
29;1;7;5;5;2;1;1;0;16426;7.0;222;-108;14;0;5;7;4;0;0;0;0;16534;6.8;247;108;1
12;0;10;7;11;0;0;0;1;20278;7.2;236;4633;20;1;7;10;6;1;1;0;0;15645;6.6;182;-4633;0
18;0;2;7;0;0;0;0;0;13791;6.6;191;-2262;18;1;7;2;4;1;1;0;0;16053;6.8;218;2262;0
24;0;6;7;5;0;0;0;0;16505;7.0;208;-49;17;1;7;6;10;1;1;0;0;16554;6.8;207;49;0
18;1;6;4;4;1;1;0;0;17277;7.2;229;1687;36;0;4;6;5;1;0;1;0;15590;7.2;232;-1687;1
122;1;9;1;10;2;1;1;0;18269;7.2;229;3933;14;0;1;9;1;0;0;0;0;14336;6.4;233;-3933;1
12;0;4;10;3;1;1;0;0;14166;6.6;203;-4061;16;1;10;4;6;0;0;0;0;18227;7.4;224;4061;0
52;0;6;12;7;0;0;0;0;15456;6.6;188;-4920;15;1;12;6;11;1;0;1;1;20376;7.4;240;4920;0
19;0;4;5;2;0;0;0;0;15180;7.0;210;-1705;11;1;5;4;1;0;0;0;0;16885;7.2;227;1705;0
32;1;7;8;8;1;1;0;0;16179;6.8;212;105;24;0;8;7;5;1;0;1;0;16074;7.0;200;-105;0
14;0;3;5;3;0;0;0;0;16026;7.0;233;-554;11;1;5;3;6;1;1;0;0;16580;6.8;234;554;1
19;1;4;5;4;0;0;0;0;14850;6.8;198;-1037;18;0;5;4;5;1;1;0;0;15887;7.0;241;1037;0
16;1;9;8;7;1;0;1;0;17347;7.0;202;-1144;13;0;8;9;11;1;1;0;1;18491;7.0;199;1144;0
36;1;5;4;6;0;0;0;0;15887;6.8;200;1173;12;0;4;5;3;1;1;0;0;14714;6.6;186;-1173;1
18;1;8;2;11;0;0;0;0;17399;7.0;232;3194;13;0;2;8;2;1;1;0;0;14205;6.6;208;-3194;0
13;1;2;7;1;1;1;0;0;13828;6.6;204;-2622;12;0;7;2;7;0;0;0;0;16450;6.8;192;2622;0
15;1;6;4;4;1;1;0;0;16645;7.2;242;1151;15;0;4;6;3;1;0;1;0;15494;7.0;205;-1151;1
50;1;6;4;8;2;1;1;0;16248;6.8;200;1463;48;0;4;6;8;0;0;0;0;14785;6.6;169;-1463;1
14;0;4;6;1;0;0;0;0;15310;7.0;221;-1038;15;1;6;4;5;2;1;1;0;16348;7.2;226;1038;0
17;1;8;4;7;1;0;1;0;16784;6.6;212;1424;13;0;4;8;5;0;0;0;0;15360;6.4;180;-1424;1
18;0;13;9;18;1;1;0;0;19032;7.4;232;527;12;1;9;13;5;0;0;0;0;18505;7.0;216;-527;1
17;0;7;6;12;0;0;0;0;17518;7.2;242;1807;52;1;6;7;9;2;1;1;0;15711;6.8;198;-1807;0
43;1;11;4;12;1;0;1;0;18976;7.4;256;2856;16;0;4;11;6;1;1;0;0;16120;7.2;210;-2856;0
12;0;6;6;10;1;1;0;0;16143;6.6;204;-964;13;1;6;6;3;1;0;1;0;17107;7.0;241;964;0
20;0;7;8;6;1;0;1;0;15868;7.0;199;-178;42;1;8;7;6;1;1;0;0;16046;6.8;178;178;0
18;0;9;8;7;1;1;0;0;17977;7.0;235;705;16;1;8;9;8;0;0;0;0;17272;7.0;207;-705;1
16;0;10;10;14;1;1;0;0;18138;7.0;208;908;15;1;10;10;16;0;0;0;0;17230;7.0;210;-908;1
14;0;7;2;12;2;1;1;0;18025;7.2;261;3558;25;1;2;7;3;0;0;0;0;14467;6.8;220;-3558;1
12;0;1;6;0;0;0;0;0;14625;6.8;241;-1299;53;1;6;1;3;1;1;0;0;15924;7.0;218;1299;0
16;0;5;8;7;1;1;0;0;15752;6.6;201;-1763;19;1;8;5;6;0;0;0;0;17515;7.2;248;1763;1
15;0;10;4;12;0;0;0;0;18480;7.4;232;2547;12;1;4;10;4;0;0;0;0;15933;6.6;247;-2547;1
13;0;3;10;2;1;1;0;0;14995;6.6;210;-3685;20;1;10;3;13;1;0;1;0;18680;7.4;200;3685;0
83;1;7;11;3;0;0;0;0;15655;6.4;194;-3689;35;0;11;7;7;1;1;0;0;19344;7.2;216;3689;0
17;1;3;5;2;0;0;0;0;15562;7.2;236;-764;33;0;5;3;6;2;1;1;0;16326;6.8;233;764;0
16;1;9;2;5;0;0;0;0;17139;7.2;223;3037;14;0;2;9;2;1;1;0;0;14102;6.6;213;-3037;1
14;1;7;7;6;0;0;0;1;19229;7.2;257;3545;19;0;7;7;10;1;1;0;0;15684;6.6;145;-3545;1
14;0;7;7;10;1;1;0;0;16972;7.2;209;-1031;16;1;7;7;7;0;0;0;0;18003;7.4;255;1031;0
17;0;5;10;6;0;0;0;0;16249;7.0;213;-1796;16;1;10;5;15;1;1;0;0;18045;7.0;214;1796;0
16;1;5;4;9;0;0;0;0;16415;6.8;247;1626;17;0;4;5;5;1;1;0;0;14789;7.0;203;-1626;1
40;0;6;8;10;1;0;1;0;18012;7.2;250;832;12;1;8;6;11;1;1;0;0;17180;7.0;186;-832;1
16;0;11;6;11;2;1;1;0;19294;7.4;242;2750;14;1;6;11;9;0;0;0;0;16544;7.0;203;-2750;1
16;0;5;8;4;1;0;1;0;15383;6.8;227;-1524;11;1;8;5;11;0;0;0;0;16907;7.0;186;1524;0
16;1;6;8;2;1;1;0;0;15777;6.6;224;-1370;20;0;8;6;9;0;0;0;0;17147;7.0;210;1370;0
14;0;4;6;4;0;0;0;0;14805;6.6;209;-1506;17;1;6;4;7;1;1;0;0;16311;7.0;231;1506;0
13;0;6;7;2;0;0;0;0;15244;6.6;199;-1101;17;1;7;6;5;2;1;1;0;16345;7.0;212;1101;0
18;0;8;3;7;1;0;1;0;17574;7.2;252;2774;15;1;3;8;2;1;1;0;0;14800;6.6;225;-2774;0
24;0;8;11;9;0;0;0;0;16655;7.0;222;-1806;13;1;11;8;13;2;1;1;0;18461;7.0;215;1806;0
12;0;6;4;8;1;1;0;0;16855;7.0;248;1265;16;1;4;6;4;1;0;1;0;15590;6.8;207;-1265;0
17;0;6;14;4;0;0;0;0;15786;6.6;200;-4443;16;1;14;6;9;1;1;0;0;20229;7.6;227;4443;1
19;0;3;5;1;0;0;0;0;15143;7.2;233;-927;16;1;5;3;7;1;1;0;0;16070;7.0;216;927;0
12;1;9;5;9;0;0;0;0;17309;7.0;221;1425;14;0;5;9;3;2;1;1;0;15884;6.8;208;-1425;1
14;0;6;4;6;1;1;0;0;16416;7.4;211;1177;14;1;4;6;2;0;0;0;0;15239;7.0;204;-1177;1
19;1;2;7;2;1;1;0;0;15222;7.0;231;-1586;17;0;7;2;14;1;0;1;0;16808;6.8;211;1586;1
16;0;5;10;3;2;1;1;0;15526;6.8;232;-2896;15;1;10;5;6;0;0;0;0;18422;7.4;236;2896;0
18;0;12;9;10;0;0;0;0;17597;6.4;143;905;12;1;9;12;9;0;0;0;0;16692;6.2;181;-905;1
17;1;9;17;17;0;0;0;0;16834;6.2;187;-3887;31;0;17;9;21;0;0;0;0;20721;7.0;211;3887;0
32;1;12;6;12;1;1;0;0;19058;7.2;202;3413;16;0;6;12;7;0;0;0;0;15645;6.6;210;-3413;1
16;1;7;9;5;2;1;1;0;16806;7.0;228;-256;34;0;9;7;7;0;0;0;0;17062;7.4;230;256;0
19;1;7;10;7;0;0;0;0;16643;6.8;227;-1820;17;0;10;7;11;0;0;0;0;18463;7.2;231;1820;1
14;1;6;4;12;1;1;0;0;16189;6.8;224;625;102;0;4;6;4;0;0;0;0;15564;7.0;217;-625;1
12;0;2;6;1;0;0;0;0;14095;6.8;196;-3628;14;1;6;2;4;1;1;0;0;17723;7.0;266;3628;0
30;1;5;5;7;1;0;1;0;16804;6.8;217;769;16;0;5;5;6;1;1;0;0;16035;6.4;233;-769;0
18;0;8;8;8;1;1;0;0;17305;7.0;229;-576;18;1;8;8;6;1;0;1;0;17881;7.0;198;576;0
14;0;3;9;2;0;0;0;0;14539;6.4;213;-3900;42;1;9;3;8;1;1;0;0;18439;7.6;255;3900;0
14;0;9;8;10;1;1;0;0;17530;7.0;192;-7;19;1;8;9;8;1;0;1;0;17537;7.2;209;7;1
13;1;10;7;10;0;0;0;0;18431;7.2;207;1683;14;0;7;10;5;1;1;0;0;16748;7.0;231;-1683;1
16;0;3;10;2;0;0;0;0;14032;6.8;193;-4782;17;1;10;3;11;1;1;0;0;18814;7.4;245;4782;0
38;1;9;7;11;1;1;0;0;17869;7.0;205;636;14;0;7;9;9;0;0;0;0;17233;6.8;215;-636;1
40;0;7;14;6;1;1;0;0;15974;6.2;183;-3421;13;1;14;7;12;0;0;0;0;19395;7.2;219;3421;1
18;0;5;3;6;1;1;0;0;16108;7.2;240;976;39;1;3;5;5;0;0;0;0;15132;6.8;230;-976;1
40;0;6;7;6;0;0;0;0;16302;6.8;212;-211;17;1;7;6;7;1;0;1;0;16513;7.2;211;211;0
18;0;7;5;6;0;0;0;0;16750;6.8;215;1221;35;1;5;7;5;0;0;0;0;15529;6.8;197;-1221;1
17;0;7;1;8;0;0;0;0;16506;7.2;226;2037;35;1;1;7;0;1;1;0;0;14469;6.6;217;-2037;1
15;1;6;3;11;1;1;0;0;16389;7.0;241;817;38;0;3;6;3;0;0;0;0;15572;6.8;229;-817;1
18;1;4;4;4;0;0;0;0;15760;7.0;215;-137;15;0;4;4;1;1;1;0;0;15897;7.0;227;137;1
43;1;4;7;4;1;1;0;0;15176;6.4;226;-1539;23;0;7;4;12;0;0;0;0;16715;7.2;205;1539;1
13;0;5;7;4;0;0;0;0;15196;6.4;191;-1707;62;1;7;5;10;1;1;0;0;16903;7.0;216;1707;0
13;0;6;9;2;1;1;0;0;16250;7.0;228;-556;17;1;9;6;13;0;0;0;0;16806;6.8;143;556;1
20;1;9;7;15;1;1;0;0;16541;6.6;199;-146;12;0;7;9;8;1;0;1;0;16687;6.8;225;146;1
15;1;12;4;9;1;0;1;0;18657;7.2;227;4083;15;0;4;12;1;1;1;0;0;14574;6.6;191;-4083;1
17;0;5;5;6;0;0;0;0;16873;7.2;223;1389;38;1;5;5;7;1;1;0;0;15484;6.8;226;-1389;1
28;0;3;4;3;1;1;0;0;14383;6.4;211;-890;16;1;4;3;5;1;0;1;0;15273;6.4;208;890;0
12;1;4;9;5;0;0;0;0;14420;6.4;192;-2519;18;0;9;4;15;0;0;0;0;16939;6.4;194;2519;0
87;0;4;15;4;0;0;0;0;14720;6.2;183;-4440;10;1;15;4;14;0;0;0;0;19160;7.4;201;4440;0
15;1;7;6;7;0;0;0;0;17406;7.2;251;1140;17;0;6;7;4;2;1;1;0;16266;7.2;190;-1140;1
15;1;5;7;2;0;0;0;0;15210;6.4;172;-1656;13;0;7;5;3;0;0;0;0;16866;6.8;219;1656;0
23;0;10;5;16;0;0;0;0;17272;6.4;192;2171;37;1;5;10;6;2;1;1;0;15101;6.6;199;-2171;1
18;1;12;4;15;0;0;0;0;19358;7.2;206;3841;14;0;4;12;3;0;0;0;0;15517;6.8;216;-3841;1
16;0;4;11;5;1;0;1;1;16855;6.6;232;-885;37;1;11;4;15;1;1;0;0;17740;7.2;216;885;1
16;0;3;8;4;2;1;1;0;15209;6.6;191;-2752;17;1;8;3;9;0;0;0;0;17961;7.2;241;2752;0
17;1;13;9;22;0;0;0;0;19542;7.0;207;2081;17;0;9;13;11;0;0;0;0;17461;7.0;200;-2081;1
15;1;4;3;4;0;0;0;0;15267;6.6;232;453;16;0;3;4;3;0;0;0;0;14814;6.8;209;-453;0
15;1;3;1;3;1;1;0;0;15243;6.6;224;830;40;0;1;3;1;1;0;1;0;14413;6.8;220;-830;0
21;0;8;8;3;0;0;0;0;16214;6.8;203;94;17;1;8;8;6;0;0;0;0;16120;7.0;168;-94;0
70;0;8;6;12;2;1;1;0;15976;7.0;178;-722;13;1;6;8;6;0;0;0;0;16698;6.6;232;722;0
18;0;6;7;10;1;0;1;0;16557;6.8;230;-1491;38;1;7;6;11;1;1;0;0;18048;7.0;222;1491;0
10;0;6;14;3;0;0;0;0;16142;6.8;198;-3109;13;1;14;6;16;2;1;1;0;19251;7.0;201;3109;0
15;1;7;11;9;0;0;0;0;17984;7.2;230;537;16;0;11;7;11;1;1;0;0;17447;7.2;178;-537;0
15;0;13;5;10;2;1;1;0;20038;7.8;222;4079;39;1;5;13;6;0;0;0;0;15959;6.6;208;-4079;1
91;0;10;5;13;0;0;0;1;19571;7.2;213;4006;17;1;5;10;6;0;0;0;0;15565;6.6;210;-4006;1
18;1;3;10;4;0;0;0;0;14557;6.4;200;-3582;16;0;10;3;10;2;1;1;0;18139;7.6;246;3582;0
16;0;6;6;5;0;0;0;0;16029;7.0;205;-355;19;1;6;6;5;1;1;0;0;16384;7.0;224;355;1
18;1;7;6;8;0;0;0;1;18053;6.6;207;3464;41;0;6;7;6;0;0;0;0;14589;6.4;178;-3464;1
16;1;9;5;9;1;1;0;0;18098;7.0;225;2217;12;0;5;9;3;1;0;1;0;15881;6.6;229;-2217;1
13;1;8;3;9;2;1;1;0;18343;7.2;235;3049;13;0;3;8;2;0;0;0;0;15294;7.0;234;-3049;1
13;0;5;6;4;1;1;0;0;15596;7.0;198;-305;25;1;6;5;7;0;0;0;0;15901;7.0;199;305;1
54;0;4;2;6;1;1;0;0;15812;7.0;229;1325;15;1;2;4;1;1;0;1;0;14487;7.0;218;-1325;0
17;1;6;6;10;0;0;0;0;15947;6.4;221;-53;14;0;6;6;9;1;1;0;0;16000;6.4;203;53;1
35;0;5;9;5;0;0;0;0;14997;6.6;196;-2865;16;1;9;5;7;1;1;0;0;17862;6.8;237;2865;0
10;1;7;7;5;0;0;0;0;16463;6.8;215;-93;33;0;7;7;8;1;1;0;0;16556;7.0;217;93;0
19;1;6;7;7;0;0;0;0;16072;6.6;225;-420;15;0;7;6;10;1;1;0;0;16492;7.2;212;420;0
22;1;7;3;6;1;1;0;0;19140;7.4;253;5008;60;0;3;7;3;1;0;1;0;14132;6.8;179;-5008;1
19;1;4;6;1;0;0;0;0;14547;6.4;188;-2074;19;0;6;4;5;2;1;1;0;16621;6.8;196;2074;0
14;0;5;4;7;1;0;1;0;15644;6.8;188;-3;20;1;4;5;7;0;0;0;0;15647;6.6;190;3;1
15;1;5;5;5;0;0;0;0;15734;7.0;213;-837;21;0;5;5;7;2;1;1;0;16571;7.0;249;837;0
38;1;5;5;6;1;1;0;0;16794;6.8;229;510;37;0;5;5;6;1;0;1;0;16284;7.2;216;-510;1
16;0;6;11;8;1;1;0;0;15930;6.8;200;-3549;14;1;11;6;12;0;0;0;0;19479;7.4;214;3549;0
17;0;6;6;6;0;0;0;0;16936;7.2;240;272;56;1;6;6;7;1;1;0;0;16664;6.8;199;-272;1
18;1;9;5;9;0;0;0;0;17941;7.2;230;2187;45;0;5;9;5;0;0;0;0;15754;7.0;206;-2187;1
19;0;2;8;4;0;0;0;0;13698;6.2;222;-4907;18;1;8;2;11;1;0;1;1;18605;7.0;242;4907;0
14;1;5;4;3;1;1;0;0;15943;7.4;238;63;16;0;4;5;5;0;0;0;0;15880;7.0;210;-63;1
17;0;4;8;6;1;0;1;0;15891;7.0;222;-2132;15;1;8;4;13;1;1;0;0;18023;7.0;230;2132;1
12;0;5;6;5;1;0;1;0;16216;7.0;211;-976;15;1;6;5;8;1;1;0;0;17192;7.6;222;976;0
86;1;3;5;3;0;0;0;0;14754;6.6;186;-1342;36;0;5;3;6;1;1;0;0;16096;7.2;218;1342;0
16;1;8;2;5;1;1;0;0;16909;7.2;229;2304;14;0;2;8;2;0;0;0;0;14605;6.2;208;-2304;1
15;0;10;2;11;0;0;0;0;18858;7.2;218;4219;83;1;2;10;1;1;1;0;0;14639;6.6;219;-4219;1
22;1;6;7;7;0;0;0;0;15952;6.8;180;-2049;46;0;7;6;9;0;0;0;0;18001;7.2;243;2049;0
16;0;1;5;2;0;0;0;0;13286;6.2;187;-4179;20;1;5;1;4;1;1;0;0;17465;7.0;236;4179;0
17;0;6;6;9;0;0;0;0;16812;7.2;269;-66;19;1;6;6;3;1;1;0;0;16878;7.0;245;66;0
16;0;9;7;13;2;1;1;0;17906;6.8;178;510;14;1;7;9;4;0;0;0;0;17396;6.8;215;-510;1
15;1;4;3;2;1;0;1;0;16408;7.2;263;2591;15;0;3;4;1;1;1;0;0;13817;6.8;208;-2591;0
14;1;4;12;5;0;0;0;0;15056;6.4;198;-3772;13;0;12;4;20;1;1;0;1;18828;7.4;177;3772;0
25;1;6;6;11;1;1;0;0;17831;6.8;240;965;17;0;6;6;7;0;0;0;0;16866;7.0;233;-965;0
11;0;1;5;1;0;0;0;0;13738;6.6;223;-3468;14;1;5;1;7;2;1;1;0;17206;7.4;259;3468;0
25;1;14;3;15;0;0;0;0;20317;7.4;212;6153;13;0;3;14;4;0;0;0;0;14164;6.4;196;-6153;1
15;0;0;5;0;0;0;0;0;14091;6.4;233;-2216;56;1;5;0;8;1;1;0;0;16307;7.0;229;2216;0
17;0;6;11;4;1;1;0;0;16036;6.6;191;-2308;19;1;11;6;14;0;0;0;0;18344;7.2;206;2308;0
17;1;6;6;5;1;0;1;0;17052;6.6;210;1917;14;0;6;6;3;1;1;0;0;15135;7.0;194;-1917;1
14;0;4;7;6;0;0;0;0;16354;7.0;268;-1676;13;1;7;4;8;1;1;0;0;18030;7.4;244;1676;0
18;1;10;5;8;1;1;0;0;18297;7.2;242;2709;13;0;5;10;7;0;0;0;0;15588;6.8;214;-2709;1
17;0;6;8;5;0;0;0;0;15748;6.6;222;-1304;40;1;8;6;12;1;1;0;0;17052;6.8;216;1304;0
42;1;8;5;10;1;1;0;0;17886;7.4;229;1824;14;0;5;8;5;0;0;0;0;16062;7.2;222;-1824;1
17;0;11;8;15;0;0;0;0;17069;6.6;174;229;17;1;8;11;9;2;1;1;0;16840;6.8;212;-229;0
15;0;4;4;4;1;0;1;0;16631;7.2;252;1507;29;1;4;4;1;0;0;0;0;15124;7.0;214;-1507;1
12;0;1;5;3;1;1;0;0;14766;7.0;231;-1787;17;1;5;1;4;0;0;0;0;16553;7.0;235;1787;0
14;0;8;7;3;0;0;0;0;17113;7.2;234;815;15;1;7;8;4;0;0;0;0;16298;6.8;182;-815;0
13;0;5;14;6;1;1;0;0;15120;6.6;167;-4767;15;1;14;5;9;0;0;0;0;19887;7.8;238;4767;0
13;0;4;6;6;0;0;0;0;15339;6.6;221;-1861;15;1;6;4;10;1;1;0;0;17200;7.0;262;1861;0
68;0;1;14;1;1;1;0;0;13438;5.8;174;-7655;15;1;14;1;18;0;0;0;1;21093;7.0;234;7655;0
20;0;4;9;3;0;0;0;0;15582;6.8;212;-2058;12;1;9;4;11;0;0;0;0;17640;7.2;224;2058;1
16;0;5;5;7;1;1;0;0;15441;6.6;201;-575;18;1;5;5;3;0;0;0;0;16016;6.8;213;575;1
12;1;4;2;2;1;0;1;0;16002;7.2;245;1765;15;0;2;4;1;0;0;0;0;14237;6.8;212;-1765;0
13;1;5;5;8;1;0;1;0;16009;6.8;220;540;15;0;5;5;8;1;1;0;0;15469;6.8;185;-540;0
16;0;12;9;15;0;0;0;0;18106;6.6;186;862;17;1;9;12;11;1;1;0;0;17244;6.8;204;-862;1
35;1;6;2;9;1;1;0;0;16501;6.6;221;2761;15;0;2;6;1;0;0;0;0;13740;6.6;201;-2761;1
14;0;3;8;3;0;0;0;0;15505;6.8;227;-1249;84;1;8;3;5;1;1;0;0;16754;7.2;214;1249;0
35;0;5;5;3;0;0;0;0;16195;7.0;244;-75;17;1;5;5;5;1;1;0;0;16270;7.0;217;75;1
18;1;14;5;12;1;1;0;0;20294;6.8;230;5805;17;0;5;14;6;0;0;0;0;14489;5.8;178;-5805;1
22;0;5;7;3;1;0;1;0;15475;7.0;198;-810;13;1;7;5;11;1;1;0;0;16285;7.0;212;810;0
